web-scraper-order,web-scraper-start-url,title,title-href,reviews,price
1611929981-3807,https://www.daraz.pk/health-beauty-tools/?location=-178&page=48&price=100-700&rating=4,Hair Threading-Face Hair Threading Tweezer-Hair Threading Machine,https://www.daraz.pk/products/hair-threading-face-hair-threading-tweezer-hair-threading-machine-i184424229-s1368690942.html?search=1,-66,Rs. 339
1611929776-2482,https://www.daraz.pk/health-beauty-tools/?location=-178&page=81&price=100-700&rating=4,USB Rechargeable Flawless Facial Hair Remover,https://www.daraz.pk/products/usb-rechargeable-flawless-facial-hair-remover-i192230025-s1386636326.html?search=1,-66,Rs. 599
1611929743-2282,https://www.daraz.pk/health-beauty-tools/?location=-178&page=86&price=100-700&rating=4,Rechargeable Flawless Hair Remover Machine- 100% Original,https://www.daraz.pk/products/rechargeable-flawless-hair-remover-machine-100-original-i134063684-s1294452097.html?search=1,-66,Rs. 569
1611929850-2975,https://www.daraz.pk/health-beauty-tools/?location=-178&page=69&price=100-700&rating=4,Foot Hard Skin Remover Foot File Foot Care Pedicure Scraping Calluses Scraper Machine Tool Stainless Steel Planer Foot Care Tool,https://www.daraz.pk/products/foot-hard-skin-remover-foot-file-foot-care-pedicure-scraping-calluses-scraper-machine-tool-stainless-steel-planer-foot-care-tool-i167040866-s1335310471.html?search=1,-65,Rs. 236
1611930104-4631,https://www.daraz.pk/health-beauty-tools/?location=-178&page=28&price=100-700&rating=4,Derma Roller 540 Titanium Micro Needles for Beard Growth and Hair Loss 0.5mm,https://www.daraz.pk/products/derma-roller-540-titanium-micro-needles-for-beard-growth-and-hair-loss-05mm-i124898194-s1282756377.html?search=1,-61,Rs. 499
1611929969-3724,https://www.daraz.pk/health-beauty-tools/?location=-178&page=50&price=100-700&rating=4,Slique Hair Threading Machine - Facial Hair Removal Makeup Beauty Tool,https://www.daraz.pk/products/hair-threading-machine-facial-hair-removal-makeup-beauty-tool-i121952181-s1277964522.html?search=1,-61,Rs. 363
1611930061-4346,https://www.daraz.pk/health-beauty-tools/?location=-178&page=35&price=100-700&rating=4,Mimo Mini Vibration Full Body Massager-plastic,https://www.daraz.pk/products/mimo-mini-vibration-full-body-massager-plastic-i1171103-s8482739.html?search=1,-59,Rs. 279
1611930184-5139,https://www.daraz.pk/health-beauty-tools/?location=-178&page=15&price=100-700&rating=4,Derma Roller 1mm Skin Therapy Micro-Needle 540 For Acne Scars Wrinkles Stretch & Pores,https://www.daraz.pk/products/derma-roller-1mm-skin-therapy-micro-needle-540-for-acne-scars-wrinkles-stretch-pores-i128887302-s1288275520.html?search=1,-58,Rs. 460
1611929913-3387,https://www.daraz.pk/health-beauty-tools/?location=-178&page=59&price=100-700&rating=4,Anti Snore Device - Sleep Aid,https://www.daraz.pk/products/anti-snore-device-sleep-aid-i107228526-s1255594731.html?search=1,-57,Rs. 165
1611930172-5059,https://www.daraz.pk/health-beauty-tools/?location=-178&page=17&price=100-700&rating=4,Pack Of 2 - Silicone Nose Shapers Kit,https://www.daraz.pk/products/pack-of-2-silicone-nose-shapers-kit-i100259630-s1222943276.html?search=1,-56,Rs. 148
1611930030-4149,https://www.daraz.pk/health-beauty-tools/?location=-178&page=40&price=100-700&rating=4,Mini Small Hair Straightener Student Mini Crystal Flat Iron Bangs Straight Hair Curler Fashion Portable Hair Styling Tools,https://www.daraz.pk/products/mini-small-hair-straightener-student-mini-crystal-flat-iron-bangs-straight-hair-curler-fashion-portable-hair-styling-tools-i122774854-s1279332765.html?search=1,-56,Rs. 392
1611929832-2864,https://www.daraz.pk/health-beauty-tools/?location=-178&page=72&price=100-700&rating=4,Derma Roller 1.00mm Skin Therapy Micro-Needle 540 For Acne Scars Wrinkles Stretch & Pores,https://www.daraz.pk/products/derma-roller-100mm-skin-therapy-micro-needle-540-for-acne-scars-wrinkles-stretch-pores-i118368978-s1271596477.html?search=1,-55,Rs. 225
1611930166-5018,https://www.daraz.pk/health-beauty-tools/?location=-178&page=18&price=100-700&rating=4,"Derma Roller, for Hair and Skin Therap 0.5mm, 1mm.1.5mm, Derma Roller with 540 Micro Needle, Beauty Roller for Anti-aging Skin Repair, Acne Scars Removal and Pores with 540 Titanium Needle for Men and Women",https://www.daraz.pk/products/derma-roller-for-hair-and-skin-therap-05mm-1mm15mm-derma-roller-with-540-micro-needle-beauty-roller-for-anti-aging-skin-repair-acne-scars-removal-and-pores-with-540-titanium-needle-for-men-and-women-i196084758-s1390984754.html?search=1,-54,Rs. 231
1611930018-4046,https://www.daraz.pk/health-beauty-tools/?location=-178&page=42&price=100-700&rating=4,Pack of 6 Max Sofit Shave Body Disposable Safety Razor/Razer For Women,https://www.daraz.pk/products/pack-of-6-max-sofit-shave-body-disposable-safety-razorrazer-for-women-i188150378-s1376966633.html?search=1,-53,Rs. 123
1611930048-4267,https://www.daraz.pk/health-beauty-tools/?location=-178&page=37&price=100-700&rating=4,USB Rechargeable Flawless Hair Removing Machine | Painless Hair Removal | Chargeable Hair Remover,https://www.daraz.pk/products/usb-rechargeable-flawless-hair-removing-machine-painless-hair-removal-chargeable-hair-remover-i157514855-s1323870004.html?search=1,-53,Rs. 590
1611930024-4084,https://www.daraz.pk/health-beauty-tools/?location=-178&page=41&price=100-700&rating=4,"Pack of 3 Tinkle Eyebrow Razor, Facial Hair Removal, Trimmer & shaper For women with safety covers(3 pcs) – multicolors",https://www.daraz.pk/products/pack-of-3-tinkle-eyebrow-razor-facial-hair-removal-trimmer-shaper-for-women-with-safety-covers3-pcs-multicolors-i188110913-s1376982274.html?search=1,-53,Rs. 110
1611930036-4184,https://www.daraz.pk/health-beauty-tools/?location=-178&page=39&price=100-700&rating=4,Girls Favourite Mini Straightener,https://www.daraz.pk/products/girls-favourite-mini-straightener-i131751846-s1291780468.html?search=1,-53,Rs. 446
1611929894-3241,https://www.daraz.pk/health-beauty-tools/?location=-178&page=62&price=100-700&rating=4,"Pack of 6 Original Tinkle Eyebrow Razor,Facial Hair Remover Eyebrow Trimmer,Sharp Mini Makeup Shaper",https://www.daraz.pk/products/pack-of-6-original-tinkle-eyebrow-razorfacial-hair-remover-eyebrow-trimmersharp-mini-makeup-shaper-i132440562-s1292658777.html?search=1,-51,Rs. 142
1611930135-4805,https://www.daraz.pk/health-beauty-tools/?location=-178&page=23&price=100-700&rating=4,Flawless Hair Remover With Free Heavy Duty Battery,https://www.daraz.pk/products/flawless-hair-remover-with-free-heavy-duty-battery-i134064354-s1294434994.html?search=1,-50,Rs. 474
1611929749-2331,https://www.daraz.pk/health-beauty-tools/?location=-178&page=85&price=100-700&rating=4,5 in 1 Facial Cleansing Messager - Pink n White,https://www.daraz.pk/products/5-in-1-facial-cleansing-messager-pink-n-white-i141952425-s1302106113.html?search=1,-50,Rs. 449
